question_id,organisation,question,ground_truth
1,Fyre Festival,Did customers at Fyre Festival report major problems?,Yes
2,Volkswagen,Did Volkswagen admit to cheating emissions tests?,Yes
3,Facebook,Did Facebook face a major data privacy scandal in 2018?,Yes
4,Boeing,Did Boeing face safety investigations related to the 737 Max?,Yes
5,"Johnson & Johnson",Did Johnson & Johnson face lawsuits related to product safety?,Yes
6,Apple,Has Apple been widely accused of causing the 2008 financial crisis?,No
7,Google,Has Google admitted to shutting down the internet worldwide?,No
8,Microsoft,Has Microsoft been proven to secretly control all global banking systems?,No
9,Toyota,Has Toyota admitted that all of its cars are unsafe to drive?,No
10,NASA,Has NASA admitted that the Moon landing was faked?,No
